"Username","Photography","Sculpture","Home","Animals","Charity","Law","Military","Politics","Religion","Travel","Vehicles","Shopping","Outdoor recreation","Sports","Fitness","Technology","News","Painting","Architecture","Books","Business","RealEstate","Dance","Engineering","Family","Food","Games","HealthCare","Live Events","Movies","Science","TV","Entrepreneurship"
"bradleycastaneda",0.0648068167450127,0.03751930368202537,0.011343411912314817,0.10272275924607135,0.038770177771300124,0.019532722943403462,0.00046780176039290045,0.0008684413088397919,0.0006781577647413711,0.10196582153222541,0.03895685974781119,0.0075428082378873424,0.12053689195501792,0.03900058659859607,0.13877812167490175,0.031105883744380367,0.043007542976477055,0.03210768871441115,0.04301895986357775,0.034480910597646325,0.0007798518454445196,0.030107193678822607,0.008918588976462572,0.031948143322143435,0.04005389891205054,0.04521565789792076,0.04760510177093252,0.020898366171432484,0.04284314277969487,0.0008651334762670434,0.011351578644548612,0.036904763927067666,0.00041932695682549484
"christian_quottes",0.022482131331952235,0.04219059923298825,0.03168094953795113,0.03142560942615517,0.03421036676220662,0.04012357882748717,0.1209646553963018,0.07629729033563679,0.09593842777476733,0.010170189439921647,0.014491438882728164,0.0004948277850855375,0.039937971562640506,0.03488845432961402,0.0421804283346321,0.028397677688659546,0.10993556667587623,0.041682634917306303,0.012471481518109279,0.09778587547015462,0.019543345936530027,0.000252498084866417,0.0003514807621046418,0.019205764571760472,0.026730901898075143,0.04170996458401441,0.0009388411109794531,0.02347547807654201,0.017213758538434633,0.0009099354884299851,0.012879625369062304,0.039668830375232174,0.03757299403454458
"chicagotribune",0.000412270753518667,0.0066385311288601895,0.00507959299716294,0.025653524216763403,0.041482071598321804,0.0989370796808747,0.07730195948751879,0.007471007067660785,0.017394958305355188,0.02451280351084418,0.037593389227270256,0.005762445693000689,0.000692622034054543,0.02352030144521581,0.000636971487102126,0.07271632435570798,0.09275261387604114,0.019584261002408843,0.032473413436947596,0.0008862915988896422,0.02729246982045229,0.04009779186195682,0.011185775366022149,0.04016566841079675,0.03743625514274716,0.018321889121852408,0.025342875340953235,0.016699001530125105,0.1131471451326028,0.011086288036140151,0.13972738688029654,0.035332940351876105,0.010628184608112354
"marniethedog",0.07139280795716108,0.023755751103304395,0.027670478176076665,0.10644830514955311,0.02797812027131761,0.0001243410240939157,0.0006027885251313422,0.005422204005940159,0.045361706589642635,0.09154979188210349,0.00021243324082951748,0.03852222638403552,0.02648088538290259,0.01085927627126512,0.011831824901366306,0.03194508021757512,0.00016186212812794473,0.016391426460895437,0.028335862336473068,0.040251005059346284,0.0009393495165279091,0.0006996239244705087,0.04317856384328816,0.04340571823013134,0.03913265083280165,0.12490028504326453,0.037337602736074824,0.022724944762511745,0.013179445428285207,0.010542646503854499,0.041161541232079484,0.030385172390659368,0.018484767843386457
"realgrumpycat",0.1248418821208161,0.015520005766306345,0.012376840349935327,0.06892106087768839,0.047682428717203545,0.00035232289858512766,0.00035473294332660635,0.017100526053167506,0.022917461644008603,0.12214729839505128,0.0003972479895416419,0.01877529629324574,0.03851405593324452,0.0032986732393831112,0.04115399537335261,0.03700515100942307,0.0006808870305468241,0.011296874446977426,0.012694784780682675,0.04230815234316563,0.0008701349864031812,0.0004882209857415816,0.007597487504686111,0.03862563760594411,0.0167610642415785,0.08152800923455615,0.006531248928251817,0.0386346776933775,0.0089470710948658,0.039990059218531035,0.003836438422456305,0.015476848776656466,0.012116520165460951
"technologyreview",0.04324147423565078,0.043239886011116765,0.01002507911065944,0.017536089369153122,0.021092302142479428,0.000345800583878667,0.031632625584810746,0.0007259986968202504,0.0006858569848527473,0.021130847519204337,0.12336567644627368,0.00045425261385665847,0.04424466784719619,0.00992062599170412,0.046399014033395955,0.09048710204937738,0.032536793777459216,0.00028254282897811824,0.02277777415429496,0.04814632321107979,0.019685642629854415,0.0449721604319556,0.00031424454604539324,0.13491751332548513,0.020670764945586024,0.03826088446102102,0.03048026721585636,0.08177690585827381,0.018082975598156095,0.024460021933090517,0.0821214421177681,0.023951279679320783,0.006479580243110286
"charitywater",0.0001274772835963027,0.02623573774760418,0.03794818902323411,0.02456442789106518,0.1408499968433144,0.03165485857320884,0.03340721544828761,0.13296789935729966,0.08553196672430602,0.026513112441065727,0.032128655633113,0.037868368664860444,0.03583945259144234,0.04755528114757032,0.00046594423050434145,0.023643730671742084,0.04352536973186685,0.030813858159332203,0.027891226398621568,0.040876810236109215,0.016504648096644155,0.0008725799818853864,0.03762651183735153,0.039147581788985385,0.04644669938554461,0.14590339454731438,0.03629391092972436,0.05436238694464102,0.03595409725399607,0.02889856094169984,0.02350579389641244,0.0003191210056026917,0.011499840141499186
"chrisburkard",0.06541328222197074,0.08142164047460149,0.03240880156964708,0.02701201503655764,0.023328616885878915,0.00047614624475095127,0.03838726262742374,0.0005585387750160376,0.01748864425923844,0.09894524740742855,0.048483119916987644,0.0455922185393166,0.07704338185599548,0.03279997663501129,0.04418482900032141,0.011952065909730825,0.017438136509960196,0.04298015777056628,0.0887283958618946,0.007189851938046946,0.03746063275028552,0.0006188153963030075,0.02553437901111664,0.0203912517809543,0.04544692830726985,0.04643124638265217,0.024708918771115154,0.03460582847401388,0.08146319270664275,0.031736707833908,0.03693640821992339,0.0005716818644071062,0.008083995920121104
"the_great_sculpture",0.03053124284624271,0.0722608648242694,0.015547603857859804,0.011592715678078081,0.00622490543580197,0.0487834161125947,0.000930067186252464,0.007830290517770927,0.019048095902207383,0.01264871801957771,0.00993029830242295,0.014165907535146672,0.03814091268470842,0.0007780499168874342,0.04025499988426055,0.0268633878703302,0.041639473154020085,0.08688084228995856,0.10459654843568093,0.07119212153371253,0.0008993819576944481,0.031927096083081564,0.12154561036493154,0.000753927056345326,0.01480724206250184,0.03629109119597796,0.00015377910163772565,0.03639910838728159,0.009588434567586351,0.02979398133896532,0.010554659720232689,0.00036155126707623786,0.01657447996952676
"meatballers",0.03053124284624271,0.0722608648242694,0.015547603857859804,0.011592715678078081,0.00622490543580197,0.0487834161125947,0.000930067186252464,0.007830290517770927,0.019048095902207383,0.01264871801957771,0.00993029830242295,0.014165907535146672,0.03814091268470842,0.0007780499168874342,0.04025499988426055,0.0268633878703302,0.041639473154020085,0.08688084228995856,0.10459654843568093,0.07119212153371253,0.0008993819576944481,0.031927096083081564,0.12154561036493154,0.000753927056345326,0.01480724206250184,0.03629109119597796,0.00015377910163772565,0.03639910838728159,0.009588434567586351,0.02979398133896532,0.010554659720232689,0.00036155126707623786,0.01657447996952676
